IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
DomainName,sendbits.m2stor4ge.xyz,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
DomainName,dmnadmin.com ,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
DomainName,myrric-uses.singlejets.com,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
DomainName,besaintegration.com,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
DomainName,sephardimension.com,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
IpAddress,194.76.225.78,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
IpAddress,195.2.93.17,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
IpAddress,185.212.44.231,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
IpAddress,185.163.45.185,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
IpAddress,170.130.55.85,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
FileSha256,1BBE96A888C6E3A52CDB0676F38A8A379A72E6F4ADE58F101A0559C7AD6F99C7,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
FileSha256,53430ABD76A5CFCFADA4962CD8925B2E32620C44A8863B445BA145F42DBFEA64,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
FileSha256,D9A6DD7216FAAFC65D419D09B6B7B5DDF24991A1F65F23113DDE40D4936EEA55,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
FileSha256,8141F47A1EE8453AC01DAACB16CAB2D18B37A9045EDC5F20C9019D4327576704,,AlertAndBlock,High, CARBANAK RAT,"This summer Truesec observed an attacker that used the tools and techniques of FIN7,including the CARBANAK RAT, to take over the network of an enterprise. Later thisfoothold was used to deploy the RYUK ransomware on the victim network.",Upon being alerted further investigation must be done.,,,
