IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
FileSha256,32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
FileSha256,dab758bf98d9b36fa057a66cd0284737abf89857b73ca89280267ee7caf62f3b,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
FileSha256,eb6fab5a2964c5817fb239a7a5079cabca0a00464fb3e07155f28b0a57a2c0ed,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
FileSha256,c09040d35630d75dfef0f804f320f8b3d16a481071076918e9b236a321c1ea77,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
FileSha256,ac1b2b89e60707a20e9eb1ca480bc3410ead40643b386d624c5d21b47c02917c,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
FileSha256,019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
FileSha256,ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
FileSha256,a25cadd48d70f6ea0c4a241d99c5241269e6faccb4054e62d16784640f8e53bc,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
FileSha256,d3c6785e18fba3749fb785bc313cf8346182f532c59172b69adfb31b96a5d0af,,AlertAndBlock,High,SolarWinds.Orion.Core.BusinessLayer.dll,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
DomainName,avsvmcloud.com,,AlertAndBlock,High,Command and Control C2 related to SolarWinds,"Research indicates that the attackers might have compromised internal build or distribution systems of SolarWinds, embedding backdoor code into a legitimate SolarWinds library with the file name SolarWinds.Orion.Core.BusinessLayer.dll.",Upon being alerted further investigation must be done.,,,
